Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.62 TCW",5596.5,7995.0,14K Gold,Yellow,"Multi Shape Emerald 4.01, Round Diamond 0.61",4.62
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.98,",0.98
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 4.04 TCW",6996.5,9995.0,14K Gold,Yellow,"Round Diamond 1.38, Pear Emerald 2.66,",4.04
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 1.15 TCW",3955.0,5650.0,14K Gold,Yellow,Round Diamond 1.15,1.15
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 2.90 TCW",2905.0,4150.0,14K Gold,White,"Multi Shape Tanzanite 2.6, Round Diamond 0.3",2.9
"Effy Signature 14K Yellow Gold Diamond Emerald Panther Earrings, 0.93 TCW",3356.5,4795.0,14K Gold,Yellow,"Round Diamond 0.91, Round Emerald 0.02,",0.93
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.30 TCW",2936.5,4195.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.4",2.3
"Effy Brasilica 14K Yellow Gold Emerald Stud Earrings, 1.62 TCW",906.5,1295.0,14K Gold,Yellow,"Round Emerald 1.62,",1.62
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.36 TCW",1956.5,2795.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.26, Round Diamond 0.1",0.36
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.51 TCW",2555.0,3650.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.51,",0.51
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Earrings, 0.57 TCW",1645.0,2350.0,14K Gold,White,"Round Blue Sapphire 0.25, Round Diamond 0.32",0.57
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 1.57 TCW",4445.0,6350.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Emerald 0.1",1.57
"Effy Bella Bleu 14K Gold Blue and White  Diamond Stud Earrings, 0.71 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Diamond 0.6, Round Diamond 0.11",0.71
"Effy Signature 14K White Gold Blue Diamond Mini Panther Earrings, 0.55 TCW",2096.5,2995.0,14K Gold,White,Round Blue Diamond 0.55,0.55
"Effy Splash Sterling Silver Pink Sapphire Circle Earrings, 3.60 TCW",665.0,950.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.6,3.6
"Effy Splash Sterling Silver Multi Color Sapphire Square Earrings, 3.75 TCW",836.5,1195.0,Sterling Silver,Sterling Silver,Round Multi Color 3.75,3.75
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.49 TCW",1956.5,2795.0,14K Gold,White,Round Diamond 0.49,0.49
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.04 TCW",1606.5,2295.0,14K Gold,Yellow,"Emerald Cut Garnet 5.85, Round Diamond 0.19",6.04
"Effy Watercolors 14K Yellow Gold Multi Sapphire 1"" Hoop Earrings, 6.18 TCW",3006.5,4295.0,14K Gold,Yellow,Oval Multi Sapphire 6.18,6.18
"Effy Pave Classica 14K White Gold Diamond Drop Earrings, 2.74 TCW",7696.5,10995.0,14K Gold,White,"Round Diamond 2.74,",2.74
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Earrings, 2.23 TCW",2647.5,5295.0,14K Gold,White,"Pear Blue Sapphire 1.42, Round Diamond 0.81",2.23
"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Earrings, 2.44 TCW",2306.5,3295.0,14K Gold,Rose,"Pear Ruby 2.2, Round Diamond 0.24",2.44
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 1.54 TCW",1676.5,2395.0,14K Gold,White,"Pear Tanzanite 1.14, Round Diamond 0.4",1.54
"Effy 14K Two Tone Gold Tanzanite and Diamond Earrings, 2.19 TCW",1950.0,3900.0,14K Gold,Rose and White,"Emerald Cut Tanzanite 1.71, Round Diamond 0.48",2.19
"Effy Tanzanite Royale Sterling Silver Tanzanite Stud Earrings, 1.52 TCW",367.5,525.0,Sterling Silver,Sterling Silver,Trillion Tanzanite 1.52,1.52
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Earrings, 0.93 TCW",1746.5,2495.0,14K Gold,Yellow and White,"Pear Blue Sapphire 0.57, Round Diamond 0.36",0.93
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 0.45 TCW",1396.5,1995.0,14K Gold,White,"Baguette Black Diamond 0.28, Round Diamond 0.17",0.45
"Effy Classique 14K White Gold Diamond Drop Earrings, 0.72 TCW",3045.0,4350.0,14K Gold,White,Multi Shape Diamond 0.72,0.72
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 0.61 TCW",2656.5,3795.0,14K Gold,Rose,"Round Ruby 0.48, Round Diamond 0.13",0.61
"Effy Splash Silver Blue Sapphire 1"" Hoop Earrings, 3.97 TCW",696.5,995.0,Sterling Silver,Sterling Silver,"Round Blue Sapphire 3.97,",3.97
"Effy 14K Two Tone Gold Diamond Earrings, 0.41 TCW",1647.5,3295.0,14K Gold,Rose and White,Round Diamond 0.41,0.41
"Effy Canare 14K Gold Yellow & White Diamond Huggie Hoop Earrings, 1.26 TCW",4616.5,6595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.01, Round Diamond 0.25",1.26
"Effy 14K Rose Gold Espresso and White Diamond Stud Earrings, 0.71 TCW",2236.5,3195.0,14K Gold,Rose,Round Diamond 0.92,0.71
"Effy Signature 14K Yellow Gold Diamond Panther Stud Earrings, 0.37 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.33, Round Tsavorite 0.04",0.37
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Ruby 1.14, Round Diamond 0.13",1.27
Effy 925 Sterling Silver & 18K Yellow Gold Cultured Fresh Water Pearl Stud Earrings,332.5,475.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Pearl,0.0
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Earrings, 2.22 TCW",2796.5,3995.0,14K Gold,Rose,"Emerald Cut Tanzanite 1.71, Round Diamond 0.51",2.22
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,White,"Round Blue Sapphire 1.14, Round Diamond 0.13",1.27
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Pear Shaped Drop Earrings, 0.87 TCW",1746.5,2495.0,14K Gold,Rose and White,"Pear Ruby 0.51, Round Diamond 0.36",0.87
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Earrings, 3.18 TCW",2345.0,3350.0,14K Gold,Yellow,"Pear Ruby 2.85, Round Diamond 0.33,",3.18
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.93,0.93
"Effy Bouquet 14K Rose Gold Diamond Cluster Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Rose,Round Diamond 0.5,0.5
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.5,0.5
"Effy Watercolors 14K White Gold Multi Gemstone & Diamond Earrings, 4.28 TCW",2870.0,4100.0,14K Gold,White,"Multi Shape Multi Sapphire 3.89, Round Diamond 0.39",4.28
"Effy Ruby Royale 14K White Gold Ruby and Diamond Earrings, 3.26 TCW",2306.5,3295.0,14K Gold,White,"Oval Ruby 2.85, Round Diamond 0.41",3.26
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Stud Earrings, 1.08 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Emerald 0.95, Round Diamond 0.13,",1.08
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 2.63 TCW",3916.5,5595.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.73",2.63
"Effy 14K Yellow Gold Turquoise and Diamond Drop Earrings, 5.78 TCW",1676.5,2395.0,14K Gold,Yellow,"Pear Turquoise 5.65, Round Diamond 0.13,",5.78
"Effy 14K Yellow Gold Diamond and Fresh Water Pearl Drop Earrings, 0.05 TCW",665.0,950.0,14K Gold,Yellow,"Round Diamond 0.05,",0.05
"Effy Ruby Royale 14K White Gold Ruby and Diamond Hoop Earrings, 1.19 TCW",1295.0,1495.0,14K Gold,White,"Round Ruby 0.8, Round Diamond 0.39,",1.19
"Effy Royale Bleu 14K Gold Sapphire and Diamond Hoop Earrings, 1.19 TCW",1295.0,2595.0,14K Gold,White,"Round Blue Sapphire 0.8, Round Diamond 0.39,",1.19
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 1.57 TCW",3146.5,4495.0,14K Gold,White,"Multi Shape Diamond 1.57,",1.57
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.48 TCW",1155.0,1650.0,14K Gold,White,"Round Diamond 0.48,",0.48
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.49 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.49,",0.49
"Effy Canare 18K Two-Tone Yellow & White Diamond Drop Earrings, 1.06 TCW",4196.5,5995.0,18K Gold,Yellow and White,"Round Yellow Diamond 1.06,",1.06
