Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.62 TCW",5596.5,7995.0,14K Gold,Yellow,"Multi-Shape Emerald 4.01, Round Diamond 0.61",Earrings,4.62,Multi-Shape Emerald,4.01,Emerald, ,Multi-Shape, Round Diamond,0.61,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.98,",Earrings,0.98,Round Diamond,0.98,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 4.04 TCW",6996.5,9995.0,14K Gold,Yellow,"Round Diamond 1.38, Pear Emerald 2.66,",Earrings,4.04,Round Diamond,1.38,Diamond, ,Round, Pear Emerald,2.66,Emerald, ,Pear,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 1.15 TCW",3955.0,5650.0,14K Gold,Yellow,Round Diamond 1.15,Earrings,1.15,Round Diamond,1.15,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 2.90 TCW",2905.0,4150.0,14K Gold,White,"Multi-Shape Tanzanite 2.6, Round Diamond 0.3",Earrings,2.9,Multi-Shape Tanzanite,2.6,Tanzanite, ,Multi-Shape, Round Diamond,0.3,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Yellow Gold Diamond Emerald Panther Earrings, 0.93 TCW",3356.5,4795.0,14K Gold,Yellow,"Round Diamond 0.91, Round Emerald 0.02,",Earrings,0.93,Round Diamond,0.91,Diamond, ,Round, Round Emerald,0.02,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.30 TCW",2936.5,4195.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.4",Earrings,2.3,Emerald Emerald,1.9,Emerald, ,Emerald, Round Diamond,0.4,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald Stud Earrings, 1.62 TCW",906.5,1295.0,14K Gold,Yellow,"Round Emerald 1.62,",Earrings,1.62,Round Emerald,1.62,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.36 TCW",1956.5,2795.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.26, Round Diamond 0.1",Earrings,0.36,Pear Yellow Diamond,0.26,Diamond,Yellow,Pear, Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.51 TCW",2555.0,3650.0,18K Gold,Yellow and White,"Multi-Shape Yellow Diamond 0.51,",Earrings,0.51,Multi-Shape Yellow Diamond,0.51,Diamond,Yellow,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
