Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.62 TCW",5596.5,7995.0,14K Gold,Yellow,"Multi Shape Emerald 4.01, Round Diamond 0.61","1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 4.04 TCW",6996.5,9995.0,14K Gold,Yellow,"Round Diamond 1.38, Pear Emerald 2.66,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 1.15 TCW",3955.0,5650.0,14K Gold,Yellow,Round Diamond 1.15,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 2.90 TCW",2905.0,4150.0,14K Gold,White,"Multi Shape Tanzanite 2.6, Round Diamond 0.3","3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Signature 14K Yellow Gold Diamond Emerald Panther Earrings, 0.93 TCW",3356.5,4795.0,14K Gold,Yellow,"Round Diamond 0.91, Round Emerald 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.30 TCW",2936.5,4195.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.4","7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Brasilica 14K Yellow Gold Emerald Stud Earrings, 1.62 TCW",906.5,1295.0,14K Gold,Yellow,"Round Emerald 1.62,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.36 TCW",1956.5,2795.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.26, Round Diamond 0.1","5/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.51 TCW",2555.0,3650.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,Women
