Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter",Adjustable Length,"17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length,Information, Pendant Length,Gemstones,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",Adjustable Chain,""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length", Length,"18"" Necklace. Bar Length",Bracelet Length,"18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size",Pearl Size, Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone",Jewelry_Type,Sex
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Pendant, 1.17 TCW",1116.5,1595.0,14K Gold,White,"Round Diamond 0.11, Square Multi Sapphire 1.06,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow Gold Diamond Station Necklace, 1.35 TCW",7497.5,14995.0,14K Gold,yellow,"Round Diamond 1.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K White Gold Diamond Panther Necklace, 4.51 TCW",17496.5,24995.0,14K Gold,White,"Round Diamond 4.22, Round Black Diamond 0.25, Round Emerald 0.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Necklace, 9.74 TCW",9660.0,13800.0,14K Gold,Yellow,"Multi Shape Emerald 8.84, Round Diamond 0.9","16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Rose Gold Ruby and Diamond Evil Eye Pendant, 0.39 TCW",976.5,1395.0,14K Gold,Rose,"Round Ruby 0.25, Round Diamond 0.12, Round Black Diamond 0.02",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Ruby, Sapphire & Diamond Eagle Head Pendant, 1.06 TCW",2275.0,3250.0,14K Gold,Yellow,"Round Multi Color 0.71, Round Diamond 0.35",,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Yellow Gold Sapphire & Diamond Evil Eye Pendant, 0.42 TCW",836.5,1195.0,14K Gold,Yellow,"Round Blue Sapphire 0.28, Round Diamond 0.14",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Rose 14K Rose Gold Diamond Station Necklace, 0.69 TCW",2376.5,3395.0,14K Gold,Rose,"Round Diamond 0.69,Adjustable Length 16""-18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Sapphire &  Diamond Vertical Pendant, 2.06 TCW",2170.0,3100.0,14K Gold,White,"Square Multi Sapphire 1.81, Round Diamond 0.25",,,,"2.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Palm Tree Necklace, 0.23 TCW",1186.5,1695.0,14K Gold,White,Round Diamond 0.23,,,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Necklace, 11.31 TCW",10850.0,15500.0,14K Gold,White,"Round Diamond 1.2, Princess Sapphire 10.11,Chain Included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Necklace, 11.21 TCW",10850.0,15500.0,14K Gold,White,"Square Blue Sapphire 10.11, Round Diamond 1.2","17""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy D'Oro 14K Yellow Gold Diamond Necklace, 0.90 TCW",7000.0,10000.0,14K Gold,Yellow,"Round Diamond 0.9,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Multi Sapphire Diamond Wave Pendant, 1.63 TCW",995.0,1750.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 1.51, round diamond 0.12",,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Ribbon Pendant, 0.18 TCW",906.5,1295.0,14K Gold,White,Round Diamond 0.18,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Turquoise & Diamond Evil Eye Necklace, 1.14 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Turquoise 0.85, Round Diamond 0.29",,,,,,,"16""-18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Pendant, 0.32 TCW",1575.0,2250.0,14K Gold,White,Round Diamond 0.32,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K White Gold Diamond Pendant, 0.53 TCW",2236.5,3195.0,14K Gold,White,Round Diamond 0.53,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Classique 14K White Gold Diamond Necklace, 4.16 TCW",11200.0,16000.0,14K Gold,White,"Baguette Diamond 3.04, Round Diamond 1.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Diamond Anchor Pendant, 0.21",1046.5,1495.0,14K Gold,White,Round Diamond 0.21,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Sapphire and Diamond Anchor Pendant, 0.29 TCW",1046.5,1495.0,14K Gold,White,"Round Blue Sapphire 0.27, Round Diamond 0.02",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Two Tone Gold Diamond Anchor Pendant, 0.18 TCW",1715.0,2450.0,14K Gold,Yellow and White,Round Diamond 0.18,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K White Gold Diamond Cluster Double Halo Pendant, 0.71 TCW",3356.5,4795.0,14K Gold,White,Round Diamond 0.71,,,,,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire Starfish Pendant, 0.80 TCW",1225.0,1750.0,14K Gold,Yellow,Round Multi Sapphire 0.8,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Yellow Gold Diamond Whale's Tail Pendant, 0.05 TCW",495.0,895.0,14K Gold,Yellow,Round Diamond 0.05,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Multi Sapphire Diamond Anchor Pendant, 0.76 TCW",976.5,1395.0,14K Gold,Yellow,"Round Multi Sapphire 0.74, round diamond 0.02,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Yellow Gold Diamond Whale's Tail Pendant, 0.28 TCW",1326.5,1895.0,14K Gold,Yellow,Round Diamond 0.28,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Yellow Gold Blue Diamond Whale's Tail Pendant, 0.05 TCW",495.0,895.0,14K Gold,Yellow,Round Blue Diamond 0.05,,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Blue Sapphire Splash Anchor Pendant, 1.40 TCW",385.0,550.0,Sterling Silver,N/A,Round Blue Sapphire 1.40,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside Sterling Silver Sapphire Starfish Pendant, 0.15 TCW",595.0,850.0,Sterling Silver & 14K Gold,Yellow,Round Blue Sapphire 0.15,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Splash Sterling Silver Multi Sapphire Necklace, 0.95 TCW",315.0,450.0,Sterling Silver,N/A,Round Multi Sapphire 0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
