Description,Discount_Price,Price,Metal,Metal Color,Stones,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Gemstones,Top Length,Top Diameter,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Length,Band Width,Flower Diameter,Band Thickness,Starfish Size,Snake Length, Height, Stone included,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Diameter,Information,Top Length Appx,Height , Contains,Jewelry_Type,Sex
"Effy Safari 14K Yellow Gold Diamond and Ruby Snake Ring, 1.50 TCW",5736.5,8195.0,14K Gold,Yellow,"Round Diamond 1.35, Round Black Diamond 0.12, Round Ruby 0.03","1.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.96 TCW",5036.5,7195.0,18K Gold,Yellow and White,"Round Yellow Diamond 0.96,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Pave Classica 14K Yellow Gold Diamond Bezel Set Ring, 0.35 TCW",1190.0,1700.0,14K Gold,Yellow,"Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Ruby Royale 14K White Gold Ruby and Diamond Ring, 2.49 TCW",7696.5,10995.0,14K Gold,White,"Oval Ruby 1.9, Multi Shape Diamond 0.59,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Limited Edition 14K White Gold Ruby and Diamond Ring, 3.59 TCW",6650.0,9500.0,14K Gold,White,"Oval Ruby 1.9, Round Diamond 1.69,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy 14K Yellow Gold Malachite and Diamond Ring, 2.46 TCW",1956.5,2795.0,14K Gold,Yellow,"Trillion Malachite 2.1, Round Diamond 0.36",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K White Gold Blue and White Tropical Leaf Ring, 0.77 TCW",1925.0,2750.0,14K Gold,White,"Round Diamond 0.77,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Ring, 0.58 TCW",1816.5,2595.0,14K Gold,White,"Round Diamond 0.58,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 1.98 TCW",16096.5,22995.0,18K Gold,Yellow and White,"Cushion Yellow Diamond 1.04, Multi Shape Diamond 0.84, Round Yellow Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Ring, 1.10 TCW",4056.5,5795.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.8, Round Diamond 0.3",,"3/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women
