Description,Price,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut
"14K 2-Tone Gold Espresso & White Diamond Crossover Hoop Earrings, 1.00 TCW",2995,Earrings,1.0,Round Diamond,1.0,Diamond,White,Round,,0.0,,,
"14K Rose Gold Diamond and Rose Quartz Ring, 16.45 TCW",2495,Rings,16.45,Pear Rose Quartz,16.25,Quartz,Rose,Pear,Round Diamond,0.2,Diamond,White,Round
"14K Rose Gold Pink Sapphire and Diamond Ribbon Earrings, 0.54 TCW",1350,Earrings,0.54,Round Pink Sapphire,0.41,Sapphire,Pink,Round,Round Diamond,0.13,Diamond,White,Round
"14K Rose Gold Pink Sapphire and Diamond Ribbon Pendant, 0.31 TCW",1250,Necklace and Pendant,0.31,Round Pink Sapphire,0.23,Sapphire,Pink,Round,Round Diamond,0.08,Diamond,White,Round
"14K Rose Gold Pink Sapphire and Diamond Ribbon Ring, 0.38 TCW",1295,Rings,0.38,Round Pink Sapphire,0.26,Sapphire,Pink,Round,Round Diamond,0.12,Diamond,White,Round
"14K Rose Gold Rose Quartz and Diamond Earrings, 13.05 TCW",2795,Earrings,13.05,Trillion Rose Quartz,12.7,Quartz,Rose,Trillion,Round Diamond,0.35,Diamond,White,Round
"14K Rose Gold Rose Quartz and Diamond Pendant, 16.18 TCW",2495,Necklace and Pendant,16.18,Trillion Rose Quartz,15.9,Quartz,Rose,Trillion,Round Diamond,0.28,Diamond,White,Round
"14K Two Tone Gold Blue and White Diamond Crossover Bangle, 2.00 TCW",5750,Bracelets,2.0,Round Diamond,2.0,Diamond,White,Round,,0.0,,,
"14K Two Tone Gold Blue and White Diamond Crossover Pendant, 1.00 TCW",2150,Necklace and Pendant,1.0,Round Diamond,1.0,Diamond,White,Round,,0.0,,,
"14K Two Tone Gold Blue and White Diamond Crossover Ring, 1.00 TCW",2500,Rings,1.0,Round Diamond,1.0,Diamond,White,Round,,0.0,,,
"14K Two Tone Gold Espresso and White Diamond Crossover Bangle, 2.00 TCW",6250,Bracelets,2.0,Round Diamond,2.0,Diamond,White,Round,,0.0,,,
