Item_Number,Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
1,"14K 2-Tone Gold Espresso & White Diamond Crossover Hoop Earrings, 1.00 TCW",2096.5,2995,14K Gold,Rose and White,Round Diamond 1,Earrings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
2,"14K Rose Gold Diamond and Rose Quartz Ring, 16.45 TCW",1746.5,2495,14K Gold,Rose,"Pear Rose Quartz 16.25, Round Diamond 0.2,",Rings,16.45,Pear Rose Quartz,16.25,Quartz,Rose,Pear,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
3,"14K Rose Gold Pink Sapphire and Diamond Ribbon Earrings, 0.54 TCW",945,1350,14K Gold,Rose,"Round Pink Sapphire 0.41, Round Diamond 0.13",Earrings,0.54,Round Pink Sapphire,0.41,Sapphire,Pink,Round,Round Diamond,0.13,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
4,"14K Rose Gold Pink Sapphire and Diamond Ribbon Pendant, 0.31 TCW",875,1250,14K Gold,Rose,"Round Pink Sapphire 0.23, Round Diamond 0.08",Necklace and Pendant,0.31,Round Pink Sapphire,0.23,Sapphire,Pink,Round,Round Diamond,0.08,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
5,"14K Rose Gold Pink Sapphire and Diamond Ribbon Ring, 0.38 TCW",906.5,1295,14K Gold,Rose,"Round Pink Sapphire 0.26, Round Diamond 0.12",Rings,0.38,Round Pink Sapphire,0.26,Sapphire,Pink,Round,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
6,"14K Rose Gold Rose Quartz and Diamond Earrings, 13.05 TCW",1956.5,2795,14K Gold,Rose,"Trillion Rose Quartz 12.7, Round Diamond 0.35",Earrings,13.05,Trillion Rose Quartz,12.7,Quartz,Rose,Trillion,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
7,"14K Rose Gold Rose Quartz and Diamond Pendant, 16.18 TCW",1746.5,2495,14K Gold,Rose,"Trillion Rose Quartz 15.9, Round Diamond 0.28",Necklace and Pendant,16.18,Trillion Rose Quartz,15.9,Quartz,Rose,Trillion,Round Diamond,0.28,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
8,"14K Two Tone Gold Blue and White Diamond Crossover Bangle, 2.00 TCW",4025,5750,14K Gold,Yellow and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
9,"14K Two Tone Gold Blue and White Diamond Crossover Pendant, 1.00 TCW",1505,2150,14K Gold,Yellow and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
10,"14K Two Tone Gold Blue and White Diamond Crossover Ring, 1.00 TCW",1750,2500,14K Gold,Yellow and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
11,"14K Two Tone Gold Espresso and White Diamond Crossover Bangle, 2.00 TCW",4375,6250,14K Gold,Rose and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
12,"14K Two Tone Gold Espresso and White Diamond Crossover Pendant, 1.00 TCW",1575,2250,14K Gold,Rose and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
13,"14K Two Tone Gold Espresso and White Diamond Crossover Ring, 1.00 TCW",1925,2750,14K Gold,Rose and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
14,"14K White and Yellow Gold Diamond Crossover Bangle, 2.00 TCW",5215,7450,14K Gold,Yellow and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
15,"14K White and Yellow Gold Diamond Crossover Hoop Earrings, 1.00 TCW",2306.5,3295,14K Gold,Yellow and White,Round Diamond 1,Earrings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
16,"14K White and Yellow Gold Diamond Crossover Pendant, 1.00 TCW",2205,3150,14K Gold,Yellow and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
17,"14K White and Yellow Gold Diamond Crossover Ring, 1.00 TCW",2205,3150,14K Gold,Yellow and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
18,"14K White Gold 18"" Diamond Necklace, .69 TCW",2096.5,2995,14K Gold,White,"Round Diamond 0.69,7 Double Sided Diamond Sections. Adjustable to 16""",Necklace and Pendant,0.69,Round Diamond,0.69,Diamond,,Round,7 Double Sided Diamond Sections. Adjustable to,16,,,,,,,,,,,,,,,,,,,,,,,
19,"14K White Gold 18"" Diamond Station and Flower Cluster Necklace, 1.51 TCW",4196.5,5995,14K Gold,White,"Round Diamond 1.51,18"" Necklace",Necklace and Pendant,1.51,Round Diamond,1.51,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
20,"14K White Gold 18"" Diamond Station Necklace, 1.50 TCW",3776.5,5395,14K Gold,White,"Round Diamond 1.5,18"" Necklace",Necklace and Pendant,1.5,Round Diamond,1.5,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
21,"14K White Gold 18"" Diamond Station Necklace, 2.00 TCW",5666.5,8095,14K Gold,White,"Round Diamond 2,18"" Necklace",Necklace and Pendant,2,Round Diamond,2,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
22,"14K White Gold 36"" Diamond Station Necklace, 2.00 TCW",5145,7350,14K Gold,White,"Round Diamond 2,36"" Necklace",Necklace and Pendant,2,Round Diamond,2,Diamond,,Round,"36"" Necklace",0,Necklace,,"36""",,,,,,,,,,,,,,,,,,,,
23,"14K White Gold Black and White Diamond Flower Pendant, 1.99 TCW",4247.5,8495,14K Gold,White,"Black Diamond, Round Diamond 1.99,Chain Included",Necklace and Pendant,1.99,Black Diamond,0,Diamond,,Black,Round Diamond,1.99,Diamond,,Round,Chain Included,0,Included,,Chain,,,,,,,,,,,,,,,
24,"14K White Gold Black and White Diamond Ring, 1.61 TCW",3247.5,6495,14K Gold,White,"Round Black Diamond, Round Diamond ,",Rings,1.61,Round Black Diamond,0,Diamond,Black,Round,Round Diamond,0,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
25,"14K White Gold Channel Set Diamond Eternity Band, 0.50 TCW",1256.5,1795,14K Gold,White,"Round Diamond 0.5,",Rings,0.5,Round Diamond,0.5,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
26,"14K White Gold Channel Set Diamond Eternity Band, 1.00 TCW",2096.5,2995,14K Gold,White,"Round Diamond 1,",Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
27,"14K White Gold Channel Set Diamond Eternity Band, 2.00 TCW",5596.5,7995,14K Gold,White,"Round Diamond 2,",Rings,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
28,"14K White Gold Channel Set Diamond Eternity Band, 3.00 TCW",9096.5,12995,14K Gold,White,"Round Diamond 3,",Rings,3,Round Diamond,3,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
29,"14K White Gold Channel Set Diamond Eternity Band, 4.00 TCW",13996.5,19995,14K Gold,White,"Round Diamond 4,",Rings,4,Round Diamond,4,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
30,"14K White Gold Diamond Ring, 2.00 TCW",6156.5,8795,14K Gold,White,Multi-Shape Diamond 2,Rings,2,Multi-Shape Diamond,2,Diamond,,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
31,"14K White Gold Prong Set Diamond Eternity Band, 0.50 TCW",1046.5,1495,14K Gold,White,"Round Diamond 0.5,",Rings,0.5,Round Diamond,0.5,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
32,"14K White Gold Prong Set Diamond Eternity Band, 1.00 TCW",2096.5,2995,14K Gold,White,"Round Diamond 1,",Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
33,"14K White Gold Prong Set Diamond Eternity Band, 2.00 TCW",5596.5,7995,14K Gold,White,"Round Diamond 2,",Rings,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
34,"14K White Gold Prong Set Diamond Eternity Band, 3.00 TCW",9096.5,12995,14K Gold,White,"Round Diamond 3,",Rings,3,Round Diamond,3,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
35,"14K White Gold Prong Set Diamond Eternity Band, 4.00 TCW",13996.5,19995,14K Gold,White,"Round Diamond 4,",Rings,4,Round Diamond,4,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
36,"14K White Gold Tanzanite and Diamond Pendant, 0.81 TCW",2306.5,3295,14K Gold,White,"Round Diamond 0.05, Oval Tanzanite 0.76,Chain Included",Necklace and Pendant,0.81,Round Diamond,0.05,Diamond,,Round,Oval Tanzanite,0.76,Tanzanite,,Oval,Chain Included,0,Included,,Chain,,,,,,,,,,,,,,,
37,"14K White Gold Tanzanite and Diamond Pendant, 2.13 TCW",995,995,14K Gold,White,"Oval Tanzanite 2, Round Diamond 0.13",Necklace and Pendant,2.13,Oval Tanzanite,2,Tanzanite,,Oval,Round Diamond,0.13,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
38,"14K Yellow Gold Citrine and Diamond Pendant, 8.29 TCW",1437.5,2875,14K Gold,Yellow,"Oval Citrine 8.17, Round Diamond 0.12",Necklace and Pendant,8.29,Oval Citrine,8.17,Citrine,,Oval,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
39,"14K Yellow Gold Emerald and Diamond Flower Ring, 2.86 TCW",3497.5,6995,14K Gold,Yellow,"Oval Emerald 1.52, Round Diamond 1.34",Rings,2.86,Oval Emerald,1.52,Emerald,,Oval,Round Diamond,1.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
40,"Balissima Sterling Silver Mix Stone Earrings, 14.80 TCW",1675,3350,Sterling Silver,Sterling Silver,"Multi-Shape Rhodolite Garnet, Multi-Shape Pink Tourmaline ",Earrings,14.8,Multi-Shape Rhodolite Garnet,0,Garnet,Rhodolite,Multi-Shape,Multi-Shape Pink Tourmaline,0,Tourmaline,Pink,Multi-Shape,,,,,,,,,,,,,,,,,,,,
41,"Confetti 14K Rose Gold Black, White and Cognac Diamond Ring, 1.36 TCW",4375,6250,14K Gold,Rose,Round Diamond 1.36,Rings,1.36,Round Diamond,1.36,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Effy 14K 2-Tone Gold Aquamarine and Diamond Drop Earrings, 3.75 TCW",1707.5,3415,14K Gold,Rose and White,"Pear Aquamarine 3.4, Round Diamond 0.35",Earrings,3.75,Pear Aquamarine,3.4,Aquamarine,,Pear,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
43,"Effy 14K 2-Tone Gold Black and White Diamond Ring, 2.35 TCW",5456.5,7795,14K Gold,Rose and Yellow,Round Diamond 2.35,Rings,2.35,Round Diamond,2.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Effy 14K 2-Tone Gold Espresso, Yellow and White Diamond Ring, 1.47 TCW",3547.5,7095,14K Gold,Rose,"Round Diamond 1.47,",Rings,1.47,Round Diamond,1.47,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Effy 14K Gold Amethyst, Pink Tourmaline and Diamond Butterfly Ring, 6.95 TW",1956.5,2795,14K Gold,Rose,"Multi-Shape Multi-Color 6.8, Round Diamond 0.15",Rings,0,Multi-Shape Multi-Color,6.8,Multi-Color,,Multi-Shape,Round Diamond,0.15,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
46,"Effy 14K Gold Cultured Fresh Water Pearl & Diamond Earrings, 0.20 TCW",1295,1850,14K Gold,Yellow,"Round Pearl, Round Diamond 0.2",Earrings,0.2,Round Pearl,0,Pearl,,Round,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
